Job_Role,Required_Skills
Cybersecurity Analyst,"incident response, network security, siem, ethical hacking, firewalls, cryptography, wireshark, penetration testing"
Mobile App Developer,"api integration, dart, react native, firebase"
AR/VR Developer,"arkit, vr interaction, 3d modeling, c#, unity, arcore, unreal engine"
UI/UX Designer,"design systems, figma, wireframing, prototyping, user research, adobe xd, responsive design"
Cybersecurity Analyst,"network security, soc, penetration testing, incident response"
Backend Developer,"redis, spring boot, microservices, rest api, express, django, flask"
Database Administrator,"performance optimization, postgresql, sql, mysql, database tuning"
Business Analyst,"communication, excel, sql, jira"
Game Developer,"c++, unity, c#, blender, multiplayer networking, unreal engine, game physics, 3d graphics"
Frontend Developer,"bootstrap, react, html, tailwind"
Software Tester,"test cases, manual testing, api testing, bug tracking, jira, selenium, automation testing"
Full Stack Developer,"react, nodejs, mongodb, firebase"
Android Developer,"sqlite, material design, android studio, firebase, java"
Full Stack Developer,"docker, react, nodejs, django, mongodb, rest api"
Data Scientist,"scikit-learn, deep learning, statistics, nlp, pandas, sql, numpy"
Data Analyst,"data visualization, pandas, statistics, dashboarding"
Mobile App Developer,"react native, swift, android, ios, kotlin"
Data Scientist,"deep learning, python, scikit-learn, matplotlib"
Data Analyst,"python, data visualization, pandas, dashboarding, tableau, excel"
AR/VR Developer,"unity, arkit, 3d modeling, arcore, vr interaction, unreal engine, c#"
Site Reliability Engineer,"terraform, kubernetes, aws, monitoring, docker"
Business Analyst,"sql, data analysis, excel, communication, jira, requirement gathering, power bi, documentation"
AR/VR Developer,"arcore, vr interaction, 3d modeling, unity, c#"
Android Developer,"kotlin, android studio, rest api, firebase, material design, sqlite, jetpack compose"
Machine Learning Engineer,"model deployment, fastapi, computer vision, flask, aws, docker, deep learning, tensorflow"
Full Stack Developer,"express, firebase, python, javascript, sql"
Frontend Developer,"css, bootstrap, responsive design, vue, react, figma"
AR/VR Developer,"arkit, 3d modeling, unreal engine, arcore, c#, vr interaction"
Data Scientist,"seaborn, machine learning, numpy, nlp"
Database Administrator,"postgresql, mysql, sql, performance optimization, oracle"
NLP Engineer,"sentiment analysis, llms, text classification, huggingface"
Game Developer,"game physics, 3d graphics, multiplayer networking, c++, blender, c#"
Blockchain Developer,"hardhat, defi, solidity, polygon, web3, rust, ethereum, cryptography"
Software Tester,"api testing, jira, selenium, automation testing, test cases"
Blockchain Developer,"polygon, blockchain security, ethereum, hardhat, smart contracts, solidity, defi"
Business Analyst,"excel, documentation, communication, jira, requirement gathering, sql, data analysis, power bi"
Blockchain Developer,"ethereum, defi, hardhat, blockchain security, cryptography, polygon, smart contracts, rust"
Cloud Architect,"microservices, docker, terraform, linux, azure, aws"
Database Administrator,"oracle, backup recovery, performance optimization, database tuning"
Machine Learning Engineer,"python, pytorch, mlops, model deployment, computer vision"
Machine Learning Engineer,"aws, tensorflow, model deployment, pytorch"
AR/VR Developer,"unreal engine, arkit, vr interaction, unity, c#, arcore, 3d modeling"
AR/VR Developer,"arkit, unreal engine, unity, 3d modeling, c#, arcore, vr interaction"
Computer Vision Engineer,"cnn, python, object detection, tensorflow, opencv, image processing"
Mobile App Developer,"react native, flutter, kotlin, dart, api integration, swift, android, mobile ui"
Computer Vision Engineer,"yolo, deep learning, cnn, object detection"
AI Engineer,"rag, langchain, deep learning, prompt engineering, llms, transformers, vector databases"
Database Administrator,"backup recovery, oracle, postgresql, performance optimization"
iOS Developer,"firebase, xcode, ios, core data, swiftui"
Full Stack Developer,"nodejs, express, react, mongodb, sql, firebase"
Android Developer,"kotlin, sqlite, firebase, rest api"
Cloud Architect,"gcp, ci/cd, docker, aws, azure, linux, microservices, kubernetes"
Full Stack Developer,"tailwind, nodejs, javascript, firebase, rest api, sql, react"
Machine Learning Engineer,"pytorch, computer vision, kubernetes, mlops, tensorflow, python, flask, aws"
Data Scientist,"sql, feature engineering, machine learning, python"
Data Analyst,"data visualization, sql, dashboarding, python, power bi, pandas, excel"
Data Analyst,"data visualization, tableau, sql, power bi, dashboarding"
Embedded Systems Engineer,"c, microcontrollers, raspberry pi, embedded linux, iot, arduino, c++"
Full Stack Developer,"firebase, django, python, rest api"
Cybersecurity Analyst,"wireshark, penetration testing, siem, ethical hacking, soc, network security, firewalls"
Data Scientist,"tensorflow, seaborn, statistics, feature engineering, scikit-learn, sql"
Database Administrator,"backup recovery, oracle, sql, database tuning, performance optimization"
Backend Developer,"django, flask, python, mongodb"
Frontend Developer,"bootstrap, figma, redux, tailwind, javascript"
Site Reliability Engineer,"monitoring, aws, kubernetes, docker, terraform, prometheus, incident management, linux"
Game Developer,"multiplayer networking, unity, c++, 3d graphics"
Network Engineer,"network security, linux, firewalls, routing, cisco, switching"
Software Tester,"automation testing, api testing, test cases, selenium, manual testing, bug tracking"
Game Developer,"blender, c++, c#, game physics, unity, 3d graphics, multiplayer networking, unreal engine"
AI Engineer,"openai api, python, huggingface, vector databases, tensorflow, transformers, rag, llms"
Embedded Systems Engineer,"c, iot, microcontrollers, arduino, c++, embedded linux"
Embedded Systems Engineer,"raspberry pi, arduino, c, c++, iot, microcontrollers"
Business Analyst,"jira, data analysis, sql, communication, documentation, requirement gathering"
Computer Vision Engineer,"deep learning, cnn, object detection, python, yolo, tensorflow, opencv"
Frontend Developer,"responsive design, css, react, nextjs, bootstrap"
Network Engineer,"switching, vpn, tcp/ip, routing, linux, firewalls"
Software Tester,"selenium, api testing, manual testing, test cases, bug tracking, jira, automation testing"
QA Engineer,"api testing, postman, performance testing, automation testing, selenium, cypress"
Backend Developer,"redis, microservices, python, nodejs, rest api, django, postgresql, spring boot"
QA Engineer,"selenium, api testing, postman, cypress, automation testing, performance testing"
Cybersecurity Analyst,"penetration testing, linux, siem, cryptography, firewalls"
QA Engineer,"automation testing, postman, performance testing, selenium"
Network Engineer,"network security, switching, vpn, cisco, firewalls, linux"
Machine Learning Engineer,"deep learning, tensorflow, aws, flask, fastapi, model deployment"
Mobile App Developer,"swift, kotlin, flutter, android, firebase, dart"
QA Engineer,"selenium, performance testing, postman, api testing, automation testing, cypress"
Network Engineer,"switching, tcp/ip, network security, firewalls, routing"
Mobile App Developer,"firebase, api integration, kotlin, dart, ios, mobile ui, flutter, react native"
Frontend Developer,"css, vue, react, tailwind"
Game Developer,"c#, unreal engine, multiplayer networking, 3d graphics, unity, game physics, c++"
AI Engineer,"openai api, nlp, rag, langchain, huggingface, transformers, llms, prompt engineering"
AI Engineer,"vector databases, langchain, rag, huggingface, tensorflow, prompt engineering, deep learning, python"
Data Scientist,"matplotlib, nlp, numpy, machine learning"
Blockchain Developer,"rust, web3, hardhat, polygon, solidity, blockchain security, defi, smart contracts"
NLP Engineer,"bert, sentiment analysis, llms, python, huggingface, text classification"
QA Engineer,"performance testing, selenium, api testing, postman, automation testing"
Android Developer,"rest api, kotlin, material design, jetpack compose, sqlite, firebase, java"
Full Stack Developer,"react, python, express, mongodb"
AI Engineer,"nlp, vector databases, langchain, llms"
Network Engineer,"tcp/ip, vpn, cisco, routing, linux, switching, network security"
Full Stack Developer,"rest api, sql, react, mongodb, nodejs, firebase, docker"
Android Developer,"material design, firebase, kotlin, sqlite"
Cloud Architect,"terraform, microservices, cloud security, aws"
NLP Engineer,"nlp, huggingface, llms, python, bert, sentiment analysis, transformers, text classification"
Data Scientist,"seaborn, scikit-learn, machine learning, tensorflow, sql"
Mobile App Developer,"ios, swift, android, react native, mobile ui"
NLP Engineer,"llms, text classification, huggingface, python, sentiment analysis, nlp, transformers"
Software Tester,"jira, bug tracking, manual testing, selenium, test cases"
QA Engineer,"cypress, selenium, automation testing, postman, api testing, performance testing"
AR/VR Developer,"arkit, unreal engine, 3d modeling, arcore, unity"
Full Stack Developer,"express, react, mongodb, nodejs, sql, python"
Database Administrator,"backup recovery, database tuning, postgresql, performance optimization, oracle, sql, mysql"
NLP Engineer,"nlp, bert, llms, huggingface, sentiment analysis, transformers, text classification"
DevOps Engineer,"bash, monitoring, kubernetes, docker, terraform, linux, github actions"
Cybersecurity Analyst,"firewalls, incident response, vulnerability assessment, wireshark, cryptography, network security"
Game Developer,"c#, c++, unreal engine, game physics, unity"
Cloud Architect,"ci/cd, microservices, aws, docker, kubernetes"
NLP Engineer,"bert, llms, text classification, transformers"
Machine Learning Engineer,"model deployment, tensorflow, deep learning, pytorch, python, flask, aws, docker"
Data Scientist,"pandas, feature engineering, sql, deep learning, statistics, scikit-learn"
Machine Learning Engineer,"pytorch, python, mlops, flask, deep learning, kubernetes, fastapi, tensorflow"
QA Engineer,"performance testing, postman, cypress, selenium, api testing"
DevOps Engineer,"terraform, prometheus, github actions, aws"
Blockchain Developer,"hardhat, cryptography, smart contracts, solidity, rust, web3, defi"
Database Administrator,"database tuning, backup recovery, performance optimization, mysql, oracle, sql"
Data Scientist,"sql, machine learning, seaborn, feature engineering"
iOS Developer,"firebase, swift, ios, api integration"
iOS Developer,"ios, core data, swiftui, xcode"
AI Engineer,"tensorflow, rag, transformers, langchain, openai api, prompt engineering, huggingface"
Frontend Developer,"vue, javascript, redux, figma, bootstrap, react, nextjs, html"
Site Reliability Engineer,"kubernetes, docker, linux, terraform, incident management, monitoring, aws, prometheus"
QA Engineer,"performance testing, selenium, cypress, automation testing, api testing"
Cloud Architect,"networking, docker, aws, ci/cd, kubernetes, azure"
iOS Developer,"swiftui, api integration, xcode, ios"
UI/UX Designer,"wireframing, design systems, responsive design, prototyping, user research, adobe xd"
Mobile App Developer,"swift, mobile ui, ios, dart, flutter, kotlin, react native"
Backend Developer,"nodejs, microservices, java, postgresql"
Cybersecurity Analyst,"network security, vulnerability assessment, linux, siem, penetration testing, wireshark"
Network Engineer,"vpn, cisco, routing, linux, network security, firewalls"
Game Developer,"unreal engine, 3d graphics, game physics, multiplayer networking"
Site Reliability Engineer,"monitoring, docker, kubernetes, linux, incident management"
Cloud Architect,"terraform, azure, linux, aws, docker, ci/cd, kubernetes, cloud security"
Data Analyst,"pandas, tableau, statistics, data visualization, excel"
QA Engineer,"postman, automation testing, performance testing, api testing, cypress"
QA Engineer,"cypress, performance testing, postman, automation testing, selenium"
Backend Developer,"rest api, nodejs, postgresql, microservices, spring boot, python, redis"
Business Analyst,"data analysis, communication, jira, power bi, excel, sql"
iOS Developer,"ios, api integration, firebase, swiftui"
Software Tester,"automation testing, test cases, selenium, api testing"
Mobile App Developer,"ios, android, firebase, flutter"
Site Reliability Engineer,"prometheus, linux, kubernetes, aws, terraform, incident management, docker"
Software Tester,"selenium, test cases, bug tracking, automation testing, manual testing, jira, api testing"
Data Scientist,"tensorflow, nlp, matplotlib, pandas, scikit-learn, sql, feature engineering"
AI Engineer,"prompt engineering, huggingface, transformers, deep learning, nlp, rag, llms, vector databases"
Network Engineer,"linux, vpn, cisco, network security, switching, routing, firewalls, tcp/ip"
UI/UX Designer,"design systems, wireframing, responsive design, prototyping, adobe xd, user research"
Machine Learning Engineer,"docker, fastapi, mlops, tensorflow, computer vision, python, aws"
Data Analyst,"excel, dashboarding, statistics, pandas, python, data visualization, tableau, power bi"
AI Engineer,"vector databases, openai api, python, llms, langchain, transformers"
Blockchain Developer,"cryptography, hardhat, solidity, ethereum, web3, smart contracts, defi"
QA Engineer,"selenium, performance testing, automation testing, postman, cypress"
Network Engineer,"linux, firewalls, cisco, network security, tcp/ip, routing, vpn"
Game Developer,"blender, unreal engine, c#, c++, multiplayer networking, unity, 3d graphics, game physics"
Business Analyst,"excel, power bi, requirement gathering, jira, communication"
Embedded Systems Engineer,"embedded linux, c, iot, c++, raspberry pi"
Business Analyst,"excel, jira, requirement gathering, sql, communication, documentation, data analysis, power bi"
Embedded Systems Engineer,"c, raspberry pi, c++, arduino, iot, microcontrollers"
Backend Developer,"spring boot, nodejs, flask, postgresql, mongodb, java, express, rest api"
Database Administrator,"sql, oracle, backup recovery, database tuning"
iOS Developer,"ios, swiftui, core data, swift, api integration, firebase, xcode"
Computer Vision Engineer,"python, deep learning, yolo, opencv, object detection, image processing, tensorflow, cnn"
iOS Developer,"swift, swiftui, ios, xcode, firebase, api integration, core data"
Cloud Architect,"microservices, kubernetes, networking, cloud security"
Mobile App Developer,"api integration, flutter, android, react native, swift, mobile ui"
NLP Engineer,"sentiment analysis, llms, nlp, bert, python, text classification, huggingface, transformers"
NLP Engineer,"nlp, text classification, llms, bert, transformers"
Mobile App Developer,"react native, mobile ui, dart, ios, android, firebase"
Backend Developer,"mongodb, rest api, microservices, django, postgresql, flask, java, express"
Database Administrator,"database tuning, backup recovery, postgresql, mysql, oracle, performance optimization"
UI/UX Designer,"responsive design, design systems, user research, prototyping, wireframing, figma, adobe xd"
Game Developer,"game physics, multiplayer networking, blender, unity, 3d graphics, c++"
QA Engineer,"cypress, performance testing, api testing, automation testing"
Business Analyst,"communication, sql, requirement gathering, jira, power bi, documentation, excel, data analysis"
Machine Learning Engineer,"deep learning, python, tensorflow, model deployment, docker"
QA Engineer,"api testing, automation testing, selenium, postman"
NLP Engineer,"huggingface, nlp, text classification, python, llms, bert, sentiment analysis, transformers"
Cybersecurity Analyst,"incident response, wireshark, vulnerability assessment, cryptography, soc"
NLP Engineer,"bert, python, nlp, transformers, text classification, llms, huggingface"
Network Engineer,"routing, switching, linux, tcp/ip"
Database Administrator,"performance optimization, sql, oracle, database tuning, postgresql"
Computer Vision Engineer,"opencv, yolo, tensorflow, object detection, image processing"
iOS Developer,"ios, core data, swiftui, xcode, swift, api integration"
Android Developer,"android studio, kotlin, rest api, material design, firebase, java, sqlite, jetpack compose"
Embedded Systems Engineer,"raspberry pi, microcontrollers, iot, arduino, embedded linux, c++"
Cybersecurity Analyst,"incident response, soc, vulnerability assessment, linux, firewalls, wireshark"
UI/UX Designer,"adobe xd, wireframing, figma, responsive design"
Machine Learning Engineer,"pytorch, aws, mlops, kubernetes"
iOS Developer,"xcode, ios, core data, firebase"
DevOps Engineer,"ansible, linux, aws, kubernetes, docker, github actions, bash, terraform"
Machine Learning Engineer,"pytorch, aws, fastapi, docker"
UI/UX Designer,"responsive design, user research, figma, wireframing, design systems"
Data Analyst,"power bi, statistics, tableau, python, pandas"
QA Engineer,"selenium, performance testing, cypress, postman, api testing"
AI Engineer,"rag, deep learning, openai api, nlp, tensorflow"
Full Stack Developer,"firebase, python, sql, tailwind"
Machine Learning Engineer,"model deployment, mlops, kubernetes, computer vision, tensorflow, pytorch, aws"
Cloud Architect,"gcp, linux, microservices, docker, networking, azure, aws, ci/cd"
Database Administrator,"postgresql, mysql, performance optimization, database tuning"
Software Tester,"test cases, api testing, bug tracking, automation testing, selenium"
Computer Vision Engineer,"cnn, tensorflow, deep learning, opencv, image processing, yolo, python"
Data Scientist,"nlp, numpy, machine learning, sql, python, statistics, pandas, seaborn"
DevOps Engineer,"ansible, prometheus, aws, jenkins"
AI Engineer,"vector databases, deep learning, huggingface, llms, prompt engineering, nlp"
Network Engineer,"network security, vpn, routing, firewalls, cisco, tcp/ip, linux"
UI/UX Designer,"design systems, prototyping, adobe xd, wireframing, user research"
Network Engineer,"routing, cisco, switching, vpn, firewalls, network security, linux, tcp/ip"
Game Developer,"unreal engine, blender, game physics, 3d graphics, unity, c++, multiplayer networking, c#"
Software Tester,"bug tracking, manual testing, test cases, selenium, api testing, automation testing"
Machine Learning Engineer,"python, tensorflow, computer vision, fastapi, kubernetes"
AR/VR Developer,"arcore, unreal engine, arkit, vr interaction"
Data Analyst,"sql, excel, tableau, pandas, power bi, dashboarding, statistics, python"
Cybersecurity Analyst,"siem, network security, incident response, cryptography, penetration testing, ethical hacking, firewalls"
UI/UX Designer,"figma, prototyping, user research, wireframing, responsive design, design systems, adobe xd"
Frontend Developer,"vue, responsive design, figma, html, javascript, angular, bootstrap, css"
Blockchain Developer,"polygon, defi, solidity, ethereum, blockchain security, hardhat, rust"
Business Analyst,"sql, data analysis, requirement gathering, excel"
Frontend Developer,"css, angular, figma, vue"
QA Engineer,"automation testing, cypress, selenium, postman, api testing, performance testing"
Blockchain Developer,"cryptography, defi, solidity, rust, blockchain security"
Cybersecurity Analyst,"cryptography, ethical hacking, soc, wireshark, siem, firewalls"
Business Analyst,"jira, documentation, power bi, requirement gathering"
Computer Vision Engineer,"tensorflow, opencv, object detection, cnn, image processing, deep learning, yolo"
DevOps Engineer,"ansible, prometheus, aws, github actions, terraform, docker, jenkins"
Cloud Architect,"docker, ci/cd, aws, networking, linux, kubernetes, microservices"
Computer Vision Engineer,"cnn, yolo, python, object detection, deep learning, opencv, tensorflow"
Frontend Developer,"tailwind, html, redux, angular, react, bootstrap, figma"
Blockchain Developer,"smart contracts, cryptography, blockchain security, rust, polygon"
DevOps Engineer,"linux, bash, terraform, kubernetes, ansible, monitoring"
Full Stack Developer,"python, javascript, django, express"
Machine Learning Engineer,"model deployment, pytorch, tensorflow, docker, mlops, flask, fastapi, computer vision"
Network Engineer,"tcp/ip, routing, cisco, switching, network security, vpn"
UI/UX Designer,"prototyping, wireframing, figma, user research, design systems, responsive design, adobe xd"
UI/UX Designer,"responsive design, figma, wireframing, user research, design systems"
Full Stack Developer,"mongodb, nodejs, django, tailwind, express"
Android Developer,"kotlin, java, rest api, material design"
iOS Developer,"firebase, swift, ios, swiftui, core data, api integration, xcode"
AI Engineer,"tensorflow, huggingface, rag, deep learning, langchain, python"
Machine Learning Engineer,"kubernetes, tensorflow, flask, pytorch, fastapi, docker, deep learning"
Software Tester,"api testing, selenium, manual testing, jira, automation testing, bug tracking"
Software Tester,"bug tracking, api testing, automation testing, selenium, manual testing, test cases"
Cloud Architect,"azure, linux, ci/cd, microservices, cloud security"
Business Analyst,"excel, power bi, documentation, sql, communication, jira"
iOS Developer,"xcode, swift, swiftui, ios, firebase"
Computer Vision Engineer,"tensorflow, deep learning, image processing, python, yolo, object detection, cnn"
Cybersecurity Analyst,"incident response, vulnerability assessment, network security, firewalls, linux, ethical hacking"
Embedded Systems Engineer,"iot, c++, microcontrollers, embedded linux"
Blockchain Developer,"ethereum, solidity, web3, smart contracts, rust, blockchain security, cryptography, polygon"
Business Analyst,"excel, communication, sql, requirement gathering, data analysis, jira, documentation"
iOS Developer,"xcode, firebase, core data, swiftui, api integration"
Computer Vision Engineer,"opencv, cnn, tensorflow, python"
Database Administrator,"database tuning, sql, mysql, oracle"
Machine Learning Engineer,"pytorch, kubernetes, aws, mlops, docker, fastapi, deep learning, python"
AI Engineer,"llms, python, tensorflow, prompt engineering"
AR/VR Developer,"unity, unreal engine, 3d modeling, vr interaction, arcore, arkit, c#"
Full Stack Developer,"rest api, tailwind, docker, react, nodejs, javascript"
Embedded Systems Engineer,"raspberry pi, arduino, iot, c, microcontrollers, embedded linux, c++"
Android Developer,"java, firebase, material design, sqlite, kotlin, android studio, rest api"
UI/UX Designer,"wireframing, adobe xd, user research, responsive design"
Computer Vision Engineer,"object detection, tensorflow, image processing, deep learning, cnn, opencv, yolo"
Mobile App Developer,"react native, android, firebase, swift, ios, kotlin, api integration"
Business Analyst,"communication, power bi, data analysis, sql, excel, jira, requirement gathering"
Software Tester,"bug tracking, selenium, automation testing, test cases"
AR/VR Developer,"c#, arcore, unreal engine, 3d modeling, arkit"
Machine Learning Engineer,"computer vision, aws, docker, fastapi, tensorflow, deep learning, pytorch"
Computer Vision Engineer,"object detection, opencv, python, deep learning, tensorflow, image processing"
Machine Learning Engineer,"deep learning, computer vision, docker, python"
Embedded Systems Engineer,"iot, microcontrollers, c++, arduino, embedded linux, raspberry pi, c"
Mobile App Developer,"android, ios, kotlin, firebase"
Embedded Systems Engineer,"embedded linux, microcontrollers, raspberry pi, c, iot, arduino, c++"
Embedded Systems Engineer,"arduino, iot, c++, embedded linux, raspberry pi, c"
Embedded Systems Engineer,"c, raspberry pi, iot, arduino, microcontrollers, embedded linux, c++"
Cybersecurity Analyst,"penetration testing, ethical hacking, vulnerability assessment, firewalls"
UI/UX Designer,"responsive design, user research, adobe xd, design systems, wireframing, prototyping, figma"
Site Reliability Engineer,"aws, kubernetes, docker, monitoring, incident management, linux, prometheus, terraform"
Cybersecurity Analyst,"cryptography, siem, vulnerability assessment, penetration testing, incident response, network security, soc"
Frontend Developer,"tailwind, responsive design, nextjs, bootstrap, redux, html, vue, css"
Frontend Developer,"javascript, nextjs, angular, redux, html, tailwind, responsive design"
Backend Developer,"express, django, nodejs, microservices, spring boot, java, redis, rest api"
Android Developer,"material design, firebase, rest api, kotlin, android studio, java, sqlite"
AI Engineer,"llms, huggingface, langchain, vector databases, transformers, deep learning, rag"
Mobile App Developer,"flutter, firebase, ios, api integration"
Data Scientist,"machine learning, feature engineering, deep learning, nlp, scikit-learn, seaborn"
NLP Engineer,"bert, text classification, transformers, nlp, llms, python, huggingface, sentiment analysis"
Frontend Developer,"figma, javascript, responsive design, angular"
Computer Vision Engineer,"python, cnn, tensorflow, object detection, yolo"
AI Engineer,"vector databases, nlp, python, rag, langchain, deep learning"
Business Analyst,"communication, excel, sql, jira, power bi, documentation, requirement gathering, data analysis"
AI Engineer,"vector databases, deep learning, langchain, rag, openai api, python, prompt engineering"
Database Administrator,"mysql, oracle, sql, performance optimization, backup recovery, database tuning, postgresql"
Backend Developer,"redis, django, nodejs, rest api, microservices"
Database Administrator,"mysql, database tuning, performance optimization, backup recovery"
Frontend Developer,"nextjs, tailwind, html, responsive design, angular"
Android Developer,"sqlite, kotlin, android studio, rest api, java"
Machine Learning Engineer,"aws, deep learning, computer vision, python, mlops, kubernetes"
Machine Learning Engineer,"aws, kubernetes, pytorch, tensorflow, model deployment, deep learning, flask"
Database Administrator,"sql, database tuning, oracle, postgresql, performance optimization"
AI Engineer,"rag, openai api, transformers, langchain, deep learning, python, vector databases"
Game Developer,"unity, c#, 3d graphics, blender, game physics"
Network Engineer,"routing, network security, linux, firewalls, tcp/ip, cisco, vpn, switching"
Backend Developer,"spring boot, django, microservices, java, flask, postgresql, redis"
Site Reliability Engineer,"kubernetes, prometheus, aws, terraform"
Blockchain Developer,"web3, hardhat, cryptography, blockchain security, solidity"
Business Analyst,"data analysis, communication, requirement gathering, sql"
Cloud Architect,"ci/cd, azure, terraform, kubernetes, linux, gcp, networking"
Frontend Developer,"react, responsive design, tailwind, nextjs, css, angular"
Computer Vision Engineer,"image processing, python, tensorflow, opencv, object detection, cnn, deep learning"
DevOps Engineer,"docker, terraform, aws, kubernetes, github actions, jenkins"
QA Engineer,"postman, selenium, performance testing, automation testing"
Business Analyst,"power bi, jira, requirement gathering, data analysis, communication, documentation, excel, sql"
Database Administrator,"mysql, oracle, database tuning, backup recovery, performance optimization, sql"
Machine Learning Engineer,"tensorflow, aws, deep learning, computer vision, fastapi, kubernetes, pytorch"
Machine Learning Engineer,"tensorflow, python, deep learning, computer vision, model deployment"
Data Scientist,"seaborn, scikit-learn, statistics, machine learning, sql"
Mobile App Developer,"android, react native, mobile ui, ios, kotlin, firebase"
Blockchain Developer,"solidity, blockchain security, smart contracts, polygon, web3"
Backend Developer,"mongodb, java, flask, python"
NLP Engineer,"bert, text classification, sentiment analysis, transformers"
QA Engineer,"postman, performance testing, cypress, api testing, automation testing"
Database Administrator,"performance optimization, sql, backup recovery, postgresql, mysql"
Data Scientist,"seaborn, matplotlib, feature engineering, nlp"
Backend Developer,"django, spring boot, flask, microservices, java, mongodb, postgresql, python"
Computer Vision Engineer,"python, yolo, image processing, object detection, opencv, tensorflow, deep learning, cnn"
Backend Developer,"java, express, microservices, rest api, postgresql"
Computer Vision Engineer,"deep learning, cnn, image processing, python, tensorflow, yolo"
Data Scientist,"numpy, tensorflow, machine learning, deep learning, seaborn"
AR/VR Developer,"3d modeling, vr interaction, c#, arcore, unreal engine, unity, arkit"
Data Scientist,"scikit-learn, pandas, matplotlib, tensorflow"
iOS Developer,"firebase, api integration, ios, xcode"
AR/VR Developer,"arcore, vr interaction, 3d modeling, c#"
NLP Engineer,"text classification, llms, transformers, bert, python"
Software Tester,"selenium, manual testing, bug tracking, automation testing, api testing"
Backend Developer,"nodejs, spring boot, microservices, mongodb"
Frontend Developer,"react, nextjs, figma, angular, redux, responsive design"
NLP Engineer,"transformers, python, nlp, huggingface, bert, llms"
Computer Vision Engineer,"yolo, image processing, tensorflow, deep learning, opencv, cnn, object detection, python"
Blockchain Developer,"rust, defi, cryptography, hardhat"
Full Stack Developer,"rest api, tailwind, nodejs, express, docker, mongodb, react"
Database Administrator,"oracle, database tuning, postgresql, backup recovery, performance optimization, mysql, sql"
DevOps Engineer,"terraform, linux, github actions, aws, monitoring, ansible, kubernetes, prometheus"
Backend Developer,"django, python, mongodb, microservices"
AI Engineer,"prompt engineering, tensorflow, huggingface, openai api"
AR/VR Developer,"3d modeling, arkit, unreal engine, unity, arcore"
Data Scientist,"feature engineering, python, matplotlib, statistics, pandas, machine learning"
Backend Developer,"rest api, flask, spring boot, python, express"
Machine Learning Engineer,"computer vision, docker, flask, deep learning, pytorch, tensorflow, kubernetes"
Site Reliability Engineer,"prometheus, aws, terraform, monitoring"
Android Developer,"sqlite, kotlin, jetpack compose, material design, java, android studio, firebase, rest api"
AR/VR Developer,"vr interaction, unity, arcore, arkit, c#, unreal engine"
Data Analyst,"data visualization, pandas, dashboarding, power bi, python, sql, statistics, tableau"
AR/VR Developer,"vr interaction, c#, unity, unreal engine"
UI/UX Designer,"user research, figma, design systems, prototyping, adobe xd"
AI Engineer,"rag, langchain, deep learning, nlp, llms, vector databases"
Game Developer,"3d graphics, blender, multiplayer networking, game physics, unity, c#"
Android Developer,"firebase, jetpack compose, rest api, material design, android studio, kotlin, sqlite"
Cloud Architect,"cloud security, azure, kubernetes, terraform, networking, ci/cd, microservices"
Data Analyst,"dashboarding, data visualization, tableau, excel"
Cloud Architect,"microservices, azure, networking, aws"
Business Analyst,"requirement gathering, power bi, sql, data analysis, documentation"
Machine Learning Engineer,"tensorflow, fastapi, python, computer vision, kubernetes, model deployment"
Computer Vision Engineer,"object detection, tensorflow, python, cnn, yolo"
NLP Engineer,"sentiment analysis, transformers, huggingface, nlp, text classification, python"
UI/UX Designer,"figma, user research, design systems, wireframing, prototyping"
Site Reliability Engineer,"aws, docker, kubernetes, incident management, monitoring, terraform, linux"
Computer Vision Engineer,"yolo, cnn, object detection, image processing, tensorflow"
Machine Learning Engineer,"deep learning, computer vision, fastapi, flask"
Full Stack Developer,"docker, tailwind, javascript, express, django, rest api"
Full Stack Developer,"nodejs, rest api, mongodb, docker"
Game Developer,"multiplayer networking, unity, 3d graphics, blender, game physics, c++, c#"
NLP Engineer,"huggingface, python, bert, nlp, llms, transformers, sentiment analysis, text classification"
NLP Engineer,"huggingface, transformers, bert, python, nlp"
Network Engineer,"routing, network security, cisco, switching, linux"
AI Engineer,"llms, deep learning, tensorflow, langchain, nlp, rag"
Cloud Architect,"microservices, networking, docker, aws, azure, terraform, kubernetes, ci/cd"
QA Engineer,"selenium, postman, automation testing, api testing, cypress"
AR/VR Developer,"arkit, unity, 3d modeling, unreal engine, vr interaction"
Business Analyst,"excel, power bi, requirement gathering, jira, data analysis"
Blockchain Developer,"defi, polygon, cryptography, smart contracts, hardhat, solidity, web3, blockchain security"
Computer Vision Engineer,"opencv, python, deep learning, yolo"
Embedded Systems Engineer,"arduino, iot, microcontrollers, c, embedded linux, c++, raspberry pi"
Embedded Systems Engineer,"microcontrollers, embedded linux, c++, c"
Software Tester,"api testing, automation testing, selenium, jira, manual testing, bug tracking"
Cybersecurity Analyst,"penetration testing, siem, ethical hacking, incident response, network security, soc"
Business Analyst,"excel, data analysis, jira, requirement gathering, sql, communication"
iOS Developer,"api integration, swift, ios, firebase, xcode, swiftui"
DevOps Engineer,"github actions, kubernetes, terraform, docker, prometheus"
Data Analyst,"power bi, pandas, statistics, sql"
Blockchain Developer,"ethereum, cryptography, solidity, smart contracts, web3, defi, hardhat, polygon"
Data Analyst,"data visualization, dashboarding, statistics, excel, python"
